clave,codigo,nombre,nivel,capitulo,capituloNombre,sexo,edadMin,edadMax,activo
A052,A05.2,INTOXICACIÓN ALIMENTARIA DEBIDA A CLOSTRIDIUM PERFRINGENS [CLOSTRIDIUM WELCHII],4,I,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,,,,SI
A053,A05.3,INTOXICACIÓN ALIMENTARIA DEBIDA A VIBRIO PARAHAEMOLYTICUS,4,I,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,,,,SI
A054,A05.4,INTOXICACIÓN ALIMENTARIA DEBIDA A BACILLUS CEREUS,4,I,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,,,,SI
A058,A05.8,OTRAS INTOXICACIONES ALIMENTARIAS DEBIDAS A BACTERIAS ESPECIFICADAS,4,I,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,,,,SI
A059,A05.9,"INTOXICACIÓN ALIMENTARIA BACTERIANA, NO ESPECIFICADA",4,I,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,,,,SI
A06,A06,AMEBIASIS,3,I,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,,,,NO
A060,A06.0,DISENTERÍA AMEBIANA AGUDA,4,I,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,,,,SI
A061,A06.1,AMEBIASIS INTESTINAL CRÓNICA,4,I,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,,,,SI
A062,A06.2,COLITIS AMEBIANA NO DISENTÉRICA,4,I,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,,,,SI
A063,A06.3,AMEBOMA INTESTINAL,4,I,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,,,,SI
A064,A06.4,ABSCESO AMEBIANO DEL HÍGADO,4,I,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,,,,SI
A065,A06.5,ABSCESO AMEBIANO DEL PULMÓN,4,I,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,,,,SI
A066,A06.6,ABSCESO AMEBIANO DEL CEREBRO,4,I,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,,,,SI
A067,A06.7,AMEBIASIS CUTÁNEA,4,I,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,,,,SI
A068,A06.8,INFECCIÓN AMEBIANA DE OTRAS LOCALIZACIONES,4,I,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,,,,SI
A069,A06.9,"AMEBIASIS, NO ESPECIFICADA",4,I,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,,,,SI
A07,A07,OTRAS ENFERMEDADES INTESTINALES DEBIDAS A PROTOZOARIOS,3,I,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,,,,NO
A070,A07.0,BALANTIDIASIS,4,I,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,,,,SI
A071,A07.1,GIARDIASIS [LAMBLIASIS],4,I,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,,,,SI
A072,A07.2,CRIPTOSPORIDIOSIS,4,I,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,,,,SI
A073,A07.3,ISOSPORIASIS,4,I,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,,,,SI
A078,A07.8,OTRAS ENFERMEDADES INTESTINALES ESPECIFICADAS DEBIDAS A PROTOZOARIOS,4,I,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,,,,SI
A079,A07.9,"ENFERMEDAD INTESTINAL DEBIDA A PROTOZOARIOS, NO ESPECIFICADA",4,I,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,,,,SI
A08,A08,INFECCIONES INTESTINALES DEBIDAS A VIRUS Y OTROS ORGANISMOS ESPECIFICADOS,3,I,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,,,,NO
A080,A08.0,ENTERITIS DEBIDA A ROTAVIRUS,4,I,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,,,,SI
A081,A08.1,GASTROENTEROPATÍA AGUDA DEBIDA AL AGENTE DE NORWALK,4,I,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,,,,SI
A082,A08.2,ENTERITIS DEBIDA A ADENOVIRUS,4,I,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,,,,SI
A083,A08.3,OTRAS ENTERITIS VIRALES,4,I,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,,,,SI
A084,A08.4,"INFECCIÓN INTESTINAL VIRAL, SIN OTRA ESPECIFICACIÓN",4,I,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,,,,SI
A085,A08.5,OTRAS INFECCIONES INTESTINALES ESPECIFICADAS,4,I,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,,,,SI
A09,A09,OTRAS GASTROENTERITIS Y COLITIS DE ORIGEN INFECCIOSO Y NO ESPECIFICADO,3,I,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,,,,NO
A090,A09.0,OTRAS GASTROENTERITIS Y COLITIS DE ORIGEN INFECCIOSO,4,I,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,,,,SI
A099,A09.9,GASTROENTERITIS Y COLITIS DE ORIGEN NO ESPECIFICADO,4,I,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,,,,SI
A09X,A09.X,DIARREA Y GASTROENTERITIS DE PRESUNTO ORIGEN INFECCIOSO,4,I,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,,,,NO
A15,A15,"TUBERCULOSIS RESPIRATORIA, CONFIRMADA BACTERIOLÓGICA E HISTOLÓGICAMENTE",3,I,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,,28,43800,NO
A150,A15.0,"TUBERCULOSIS DEL PULMÓN, CONFIRMADA POR HALLAZGO MICROSCÓPICO DEL BACILO TUBERCULOSO EN ESPUTO, CON O SIN CULTIVO",4,I,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,,28,43800,SI
A151,A15.1,"TUBERCULOSIS DEL PULMÓN, CONFIRMADA ÚNICAMENTE POR CULTIVO",4,I,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,,28,43800,SI
A152,A15.2,"TUBERCULOSIS DEL PULMÓN, CONFIRMADA HISTOLÓGICAMENTE",4,I,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,,28,43800,SI
A153,A15.3,"TUBERCULOSIS DEL PULMÓN, CONFIRMADA POR MEDIOS NO ESPECIFICADOS",4,I,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,,28,43800,SI
A154,A15.4,"TUBERCULOSIS DE GANGLIOS LINFÁTICOS INTRATORÁCICOS, CONFIRMADA BACTERIOLÓGICA E HISTOLÓGICAMENTE",4,I,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,,28,43800,SI
A155,A15.5,"TUBERCULOSIS DE LARINGE, TRAQUEA Y BRONQUIOS, CONFIRMADA BACTERIOLÓGICA E HISTOLÓGICAMENTE",4,I,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,,28,43800,SI
A156,A15.6,"PLEURESÍA TUBERCULOSA, CONFIRMADA BACTERIOLÓGICA E HISTOLÓGICAMENTE",4,I,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,,28,43800,SI
A157,A15.7,"TUBERCULOSIS RESPIRATORIA PRIMARIA, CONFIRMADA BACTERIOLÓGICA E HISTOLÓGICAMENTE",4,I,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,,28,43800,SI
A158,A15.8,"OTRAS TUBERCULOSIS RESPIRATORIAS, CONFIRMADAS BACTERIOLÓGICA E HISTOLÓGICAMENTE",4,I,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,,28,43800,SI
A159,A15.9,"TUBERCULOSIS RESPIRATORIA NO ESPECIFICADA, CONFIRMADA BACTERIOLÓGICA E HISTOLÓGICAMENTE",4,I,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,,28,43800,SI
A16,A16,"TUBERCULOSIS RESPIRATORIA, NO CONFIRMADA BACTERIOLÓGICA O HISTOLÓGICAMENTE",3,I,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,,28,43800,NO
A160,A16.0,"TUBERCULOSIS DEL PULMÓN, CON EXAMEN BACTERIOLÓGICO E HISTOLÓGICO NEGATIVOS",4,I,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,,28,43800,SI
A161,A16.1,"TUBERCULOSIS DE PULMÓN, SIN EXAMEN BACTERIOLÓGICO E HISTOLÓGICO",4,I,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,,28,43800,SI
A162,A16.2,"TUBERCULOSIS DE PULMÓN, SIN MENCIÓN DE CONFIRMACIÓN BACTERIOLÓGICA O HISTOLÓGICA",4,I,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,,28,43800,SI
A163,A16.3,"TUBERCULOSIS DE GANGLIOS LINFÁTICOS INTRATORÁCICOS, SIN MENCIÓN DE CONFIRMACIÓN BACTERIOLÓGICA O HISTOLÓGICA",4,I,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,,28,43800,SI
A164,A16.4,"TUBERCULOSIS DE LARINGE, TRAQUEA Y BRONQUIOS, SIN MENCIÓN DE CONFIRMACIÓN BACTERIOLÓGICA O HISTOLÓGICA",4,I,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,,28,43800,SI
A165,A16.5,"PLEURESÍA TUBERCULOSA, SIN MENCIÓN DE CONFIRMACIÓN BACTERIOLÓGICA O HISTOLÓGICA",4,I,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,,28,43800,SI
A167,A16.7,"TUBERCULOSIS RESPIRATORIA PRIMARIA, SIN MENCIÓN DE CONFIRMACIÓN BACTERIOLÓGICA O HISTOLÓGICA",4,I,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,,28,43800,SI
A168,A16.8,"OTRAS TUBERCULOSIS RESPIRATORIAS, SIN MENCIÓN DE CONFIRMACIÓN",4,I,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,,28,43800,SI
A169,A16.9,"TUBERCULOSIS RESPIRATORIA NO ESPECIFICADA, SIN MENCIÓN DE CONFIRMACIÓN BACTERIOLÓGICA O HISTOLÓGICA",4,I,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,,28,43800,SI
A17,A17,TUBERCULOSIS DEL SISTEMA NERVIOSO,3,I,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,,28,43800,NO
A170,A17.0,MENINGITIS TUBERCULOSA,4,I,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,,28,43800,SI
A171,A17.1,TUBERCULOMA MENÍNGEO,4,I,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,,28,43800,SI
A178,A17.8,OTRAS TUBERCULOSIS DEL SISTEMA NERVIOSO,4,I,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,,28,43800,SI
A179,A17.9,"TUBERCULOSIS DEL SISTEMA NERVIOSO, NO ESPECIFICADA",4,I,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,,28,43800,SI
A18,A18,TUBERCULOSIS DE OTROS ÓRGANOS,3,I,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,,28,43800,NO
A180,A18.0,TUBERCULOSIS DE HUESOS Y ARTICULACIONES,4,I,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,,28,43800,SI
A181,A18.1,TUBERCULOSIS DEL APARATO GENITOURINARIO,4,I,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,,28,43800,SI
A182,A18.2,LINFADENOPATÍA PERIFÉRICA TUBERCULOSA,4,I,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,,28,43800,SI
A183,A18.3,"TUBERCULOSIS DE LOS INTESTINOS, EL PERITONEO Y LOS GANGLIOS MESENTÉRICOS",4,I,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,,28,43800,SI
A184,A18.4,TUBERCULOSIS DE LA PIEL Y EL TEJIDO SUBCUTÁNEO,4,I,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,,28,43800,SI
A185,A18.5,TUBERCULOSIS DEL OJO,4,I,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,,28,43800,SI
A186,A18.6,TUBERCULOSIS DEL OÍDO,4,I,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,,28,43800,SI
A187,A18.7,TUBERCULOSIS DE GLÁNDULAS SUPRARRENALES,4,I,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,,28,43800,SI
A188,A18.8,TUBERCULOSIS DE OTROS ÓRGANOS ESPECIFICADOS,4,I,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,,28,43800,SI
A19,A19,TUBERCULOSIS MILIAR,3,I,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,,28,43800,NO
A190,A19.0,TUBERCULOSIS MILIAR AGUDA DE UN SOLO SITIO ESPECIFICADO,4,I,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,,28,43800,SI
A191,A19.1,TUBERCULOSIS MILIAR AGUDA DE SITIOS MÚLTIPLES,4,I,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,,28,43800,SI
A192,A19.2,"TUBERCULOSIS MILIAR AGUDA, NO ESPECIFICADA",4,I,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,,28,43800,SI
A198,A19.8,OTRAS TUBERCULOSIS MILIARES,4,I,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,,28,43800,SI
A199,A19.9,"TUBERCULOSIS MILIAR, SIN OTRA ESPECIFICACIÓN",4,I,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,,28,43800,SI
A20,A20,PESTE,3,I,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,,,,NO
A200,A20.0,PESTE BUBÓNICA,4,I,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,,,,NO
A201,A20.1,PESTE CELULOCUTÁNEA,4,I,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,,,,NO
A202,A20.2,PESTE NEUMÓNICA,4,I,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,,,,NO
A203,A20.3,MENINGITIS POR PESTE,4,I,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,,,,NO
A207,A20.7,PESTE SEPTICÉMICA,4,I,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,,,,NO
A208,A20.8,OTRAS FORMAS DE PESTE,4,I,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,,,,NO
A209,A20.9,"PESTE, NO ESPECIFICADA",4,I,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,,,,NO
A21,A21,TULAREMIA,3,I,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,,,,NO
A210,A21.0,TULAREMIA ULCEROGLANDULAR,4,I,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,,,,SI
A211,A21.1,TULAREMIA OCULOGLANDULAR,4,I,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,,,,SI
A212,A21.2,TULAREMIA PULMONAR,4,I,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,,,,SI
A213,A21.3,TULAREMIA GASTROINTESTINAL,4,I,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,,,,SI
A217,A21.7,TULAREMIA GENERALIZADA,4,I,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,,,,SI
A218,A21.8,OTRAS FORMAS DE TULAREMIA,4,I,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,,,,SI
A219,A21.9,"TULAREMIA, NO ESPECIFICADA",4,I,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,,,,SI
A22,A22,CARBUNCO [ÁNTRAX],3,I,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,,,,NO
A220,A22.0,CARBUNCO CUTÁNEO,4,I,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,,,,SI
A221,A22.1,CARBUNCO PULMONAR,4,I,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,,,,SI
A222,A22.2,CARBUNCO GASTROINTESTINAL,4,I,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,,,,SI
A227,A22.7,CARBUNCO SÉPTICO,4,I,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,,,,SI
A228,A22.8,OTRAS FORMAS DE CARBUNCO,4,I,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,,,,SI
A229,A22.9,"CARBUNCO, NO ESPECIFICADO",4,I,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,,,,SI
A23,A23,BRUCELOSIS,3,I,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,,,,NO
A230,A23.0,BRUCELOSIS DEBIDA A BRUCELLA MELITENSIS,4,I,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,,,,SI
A231,A23.1,BRUCELOSIS DEBIDA A BRUCELLA ABORTUS,4,I,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,,,,SI
A232,A23.2,BRUCELOSIS DEBIDA A BRUCELLA SUIS,4,I,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,,,,SI
A233,A23.3,BRUCELOSIS DEBIDA A BRUCELLA CANIS,4,I,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,,,,SI
A238,A23.8,OTRAS BRUCELOSIS,4,I,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,,,,SI
A239,A23.9,"BRUCELOSIS, NO ESPECIFICADA",4,I,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,,,,SI
A24,A24,MUERMO Y MELIOIDOSIS,3,I,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,,,,NO
A240,A24.0,MUERMO,4,I,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,,,,SI
A241,A24.1,MELIOIDOSIS AGUDA Y FULMINANTE,4,I,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,,,,SI
A242,A24.2,MELIOIDOSIS SUBAGUDA Y CRÓNICA,4,I,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,,,,SI
A243,A24.3,OTRAS MELIOIDOSIS,4,I,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,,,,SI
A244,A24.4,"MELIOIDOSIS, NO ESPECIFICADA",4,I,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,,,,SI
A25,A25,FIEBRE POR MORDEDURA DE RATA,3,I,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,,,,NO
A250,A25.0,ESPIRILOSIS,4,I,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,,,,SI
A251,A25.1,ESTREPTOBACILOSIS,4,I,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,,,,SI
A259,A25.9,"FIEBRE POR MORDEDURA DE RATA, NO ESPECIFICADA",4,I,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,,,,SI
A26,A26,ERISIPELOIDE,3,I,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,,,,NO
A260,A26.0,ERISIPELOIDE CUTÁNEO,4,I,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,,,,SI
A267,A26.7,SEPSIS POR ERYSIPELOTHRIX,4,I,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,,,,SI
A268,A26.8,OTRAS FORMAS DE ERISIPELOIDE,4,I,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,,,,SI
A269,A26.9,"ERISIPELOIDE, NO ESPECIFICADA",4,I,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,,,,SI
A27,A27,LEPTOSPIROSIS,3,I,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,,,,NO
A270,A27.0,LEPTOSPIROSIS ICTEROHEMORRÁGICA,4,I,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,,,,SI
A278,A27.8,OTRAS FORMAS DE LEPTOSPIROSIS,4,I,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,,,,SI
A279,A27.9,"LEPTOSPIROSIS, NO ESPECIFICADA",4,I,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,,,,SI
A28,A28,"OTRAS ENFERMEDADES ZOONÓTICAS BACTERIANAS, NO CLASIFICADAS EN OTRA PARTE",3,I,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,,,,NO
