clave,codigo,nombre,nivel,capitulo,capituloNombre,sexo,edadMin,edadMax,activo
H433,H43.3,OTRAS OPACIDADES VÍTREAS,4,VII,ENFERMEDADES DEL OJO Y SUS ANEXOS,,,,SI
H438,H43.8,OTROS TRASTORNOS DEL CUERPO VÍTREO,4,VII,ENFERMEDADES DEL OJO Y SUS ANEXOS,,,,SI
H439,H43.9,"TRASTORNO DEL CUERPO VÍTREO, NO ESPECIFICADO",4,VII,ENFERMEDADES DEL OJO Y SUS ANEXOS,,,,SI
H44,H44,TRASTORNOS DEL GLOBO OCULAR,3,VII,ENFERMEDADES DEL OJO Y SUS ANEXOS,,,,NO
H440,H44.0,ENDOFTALMITIS PURULENTA,4,VII,ENFERMEDADES DEL OJO Y SUS ANEXOS,,,,SI
H441,H44.1,OTRAS ENDOFTALMITIS,4,VII,ENFERMEDADES DEL OJO Y SUS ANEXOS,,,,SI
H442,H44.2,MIOPÍA DEGENERATIVA,4,VII,ENFERMEDADES DEL OJO Y SUS ANEXOS,,,,SI
H443,H44.3,OTROS TRASTORNOS DEGENERATIVOS DEL GLOBO OCULAR,4,VII,ENFERMEDADES DEL OJO Y SUS ANEXOS,,,,SI
H444,H44.4,HIPOTONÍA OCULAR,4,VII,ENFERMEDADES DEL OJO Y SUS ANEXOS,,,,SI
H445,H44.5,AFECCIONES DEGENERATIVAS DEL GLOBO OCULAR,4,VII,ENFERMEDADES DEL OJO Y SUS ANEXOS,,,,SI
H446,H44.6,RETENCIÓN INTRAOCULAR DE CUERPO EXTRAÑO MAGNÉTICO (ANTIGUO),4,VII,ENFERMEDADES DEL OJO Y SUS ANEXOS,,,,SI
H447,H44.7,RETENCIÓN INTRAOCULAR DE CUERPO EXTRAÑO NO MAGNÉTICO (ANTIGUO),4,VII,ENFERMEDADES DEL OJO Y SUS ANEXOS,,,,SI
H448,H44.8,OTROS TRASTORNOS DEL GLOBO OCULAR,4,VII,ENFERMEDADES DEL OJO Y SUS ANEXOS,,,,SI
H449,H44.9,"TRASTORNO DEL GLOBO OCULAR, NO ESPECIFICADO",4,VII,ENFERMEDADES DEL OJO Y SUS ANEXOS,,,,SI
H45,H45,TRASTORNOS DEL CUERPO VÍTREO Y DEL GLOBO OCULAR EN ENFERMEDADES CLASIFICADAS EN OTRA PARTE,3,VII,ENFERMEDADES DEL OJO Y SUS ANEXOS,,,,NO
H450,H45.0,HEMORRAGIA DEL VÍTREO EN ENFERMEDADES CLASIFICADAS EN OTRA PARTE,4,VII,ENFERMEDADES DEL OJO Y SUS ANEXOS,,,,SI
H451,H45.1,ENDOFTALMITIS EN ENFERMEDADES CLASIFICADAS EN OTRA PARTE,4,VII,ENFERMEDADES DEL OJO Y SUS ANEXOS,,,,SI
H458,H45.8,OTROS TRASTORNOS DEL CUERPO VÍTREO Y DEL GLOBO OCULAR EN ENFERMEDADES CLASIFICADAS EN OTRA PARTE,4,VII,ENFERMEDADES DEL OJO Y SUS ANEXOS,,,,SI
H46X,H46.X,NEURITIS ÓPTICA,4,VII,ENFERMEDADES DEL OJO Y SUS ANEXOS,,,,SI
H47,H47,OTROS TRASTORNOS DEL NERVIO ÓPTICO [II PAR] Y DE LAS VÍAS ÓPTICAS,3,VII,ENFERMEDADES DEL OJO Y SUS ANEXOS,,,,NO
H470,H47.0,"TRASTORNOS DEL NERVIO ÓPTICO, NO CLASIFICADOS EN OTRA PARTE",4,VII,ENFERMEDADES DEL OJO Y SUS ANEXOS,,,,SI
H471,H47.1,"PAPILEDEMA, NO ESPECIFICADO",4,VII,ENFERMEDADES DEL OJO Y SUS ANEXOS,,,,SI
H472,H47.2,ATROFIA ÓPTICA,4,VII,ENFERMEDADES DEL OJO Y SUS ANEXOS,,,,SI
H473,H47.3,OTROS TRASTORNOS DEL DISCO ÓPTICO,4,VII,ENFERMEDADES DEL OJO Y SUS ANEXOS,,,,SI
H474,H47.4,TRASTORNOS DEL QUIASMA ÓPTICO,4,VII,ENFERMEDADES DEL OJO Y SUS ANEXOS,,,,SI
H475,H47.5,TRASTORNOS DE OTRAS VÍAS ÓPTICAS,4,VII,ENFERMEDADES DEL OJO Y SUS ANEXOS,,,,SI
H476,H47.6,TRASTORNOS DE LA CORTEZA VISUAL,4,VII,ENFERMEDADES DEL OJO Y SUS ANEXOS,,,,SI
H477,H47.7,"TRASTORNO DE LAS VÍAS ÓPTICAS, NO ESPECIFICADO",4,VII,ENFERMEDADES DEL OJO Y SUS ANEXOS,,,,SI
H48,H48,TRASTORNOS DEL NERVIO ÓPTICO [II PAR] Y DE LAS VÍAS ÓPTICAS EN ENFERMEDADES CLASIFICADAS EN OTRA PARTE,3,VII,ENFERMEDADES DEL OJO Y SUS ANEXOS,,,,NO
H480,H48.0,ATROFIA ÓPTICA EN ENFERMEDADES CLASIFICADAS EN OTRA PARTE,4,VII,ENFERMEDADES DEL OJO Y SUS ANEXOS,,,,SI
H481,H48.1,NEURITIS RETROBULBAR EN ENFERMEDADES CLASIFICADAS EN OTRA PARTE,4,VII,ENFERMEDADES DEL OJO Y SUS ANEXOS,,,,SI
H488,H48.8,OTROS TRASTORNOS DEL NERVIO ÓPTICO Y DE LAS VÍAS ÓPTICAS EN ENFERMEDADES CLASIFICADAS EN OTRA PARTE,4,VII,ENFERMEDADES DEL OJO Y SUS ANEXOS,,,,SI
H49,H49,ESTRABISMO PARALÍTICO,3,VII,ENFERMEDADES DEL OJO Y SUS ANEXOS,,,,NO
H490,H49.0,PARÁLISIS DEL NERVIO MOTOR OCULAR COMÚN [III PAR],4,VII,ENFERMEDADES DEL OJO Y SUS ANEXOS,,,,SI
H491,H49.1,PARÁLISIS DEL NERVIO PATÉTICO [IV PAR],4,VII,ENFERMEDADES DEL OJO Y SUS ANEXOS,,,,SI
H492,H49.2,PARÁLISIS DEL NERVIO MOTOR OCULAR EXTERNO [VI PAR],4,VII,ENFERMEDADES DEL OJO Y SUS ANEXOS,,,,SI
H493,H49.3,OFTALMOPLEJÍA TOTAL (EXTERNA),4,VII,ENFERMEDADES DEL OJO Y SUS ANEXOS,,,,SI
H494,H49.4,OFTALMOPLEJÍA EXTERNA PROGRESIVA,4,VII,ENFERMEDADES DEL OJO Y SUS ANEXOS,,,,SI
H498,H49.8,OTROS ESTRABISMOS PARALÍTICOS,4,VII,ENFERMEDADES DEL OJO Y SUS ANEXOS,,,,SI
H499,H49.9,"ESTRABISMO PARALÍTICO, NO ESPECIFICADO",4,VII,ENFERMEDADES DEL OJO Y SUS ANEXOS,,,,SI
H50,H50,OTROS ESTRABISMOS,3,VII,ENFERMEDADES DEL OJO Y SUS ANEXOS,,,,NO
H500,H50.0,ESTRABISMO CONCOMITANTE CONVERGENTE,4,VII,ENFERMEDADES DEL OJO Y SUS ANEXOS,,,,SI
H501,H50.1,ESTRABISMO CONCOMITANTE DIVERGENTE,4,VII,ENFERMEDADES DEL OJO Y SUS ANEXOS,,,,SI
H502,H50.2,ESTRABISMO VERTICAL,4,VII,ENFERMEDADES DEL OJO Y SUS ANEXOS,,,,SI
H503,H50.3,HETEROTROPÍA INTERMITENTE,4,VII,ENFERMEDADES DEL OJO Y SUS ANEXOS,,,,SI
H504,H50.4,OTRAS HETEROTROPÍAS O LAS NO ESPECIFICADAS,4,VII,ENFERMEDADES DEL OJO Y SUS ANEXOS,,,,SI
H505,H50.5,HETEROFORIA,4,VII,ENFERMEDADES DEL OJO Y SUS ANEXOS,,,,SI
H506,H50.6,ESTRABISMO MECÁNICO,4,VII,ENFERMEDADES DEL OJO Y SUS ANEXOS,,,,SI
H508,H50.8,OTROS ESTRABISMOS ESPECIFICADOS,4,VII,ENFERMEDADES DEL OJO Y SUS ANEXOS,,,,SI
H509,H50.9,"ESTRABISMO, NO ESPECIFICADO",4,VII,ENFERMEDADES DEL OJO Y SUS ANEXOS,,,,SI
H51,H51,OTROS TRASTORNOS DE LOS MOVIMIENTOS BINOCULARES,3,VII,ENFERMEDADES DEL OJO Y SUS ANEXOS,,,,NO
H510,H51.0,PARÁLISIS DE LA CONJUGACIÓN DE LA MIRADA,4,VII,ENFERMEDADES DEL OJO Y SUS ANEXOS,,,,SI
H511,H51.1,EXCESO E INSUFICIENCIA DE LA CONVERGENCIA OCULAR,4,VII,ENFERMEDADES DEL OJO Y SUS ANEXOS,,,,SI
H512,H51.2,OFTALMOPLEJÍA INTERNUCLEAR,4,VII,ENFERMEDADES DEL OJO Y SUS ANEXOS,,,,SI
H518,H51.8,OTROS TRASTORNOS ESPECIFICADOS DE LOS MOVIMIENTOS BINOCULARES,4,VII,ENFERMEDADES DEL OJO Y SUS ANEXOS,,,,SI
H519,H51.9,"TRASTORNO DEL MOVIMIENTO BINOCULAR, NO ESPECIFICADO",4,VII,ENFERMEDADES DEL OJO Y SUS ANEXOS,,,,SI
H52,H52,TRASTORNOS DE LA ACOMODACIÓN Y DE LA REFRACCIÓN,3,VII,ENFERMEDADES DEL OJO Y SUS ANEXOS,,,,NO
H520,H52.0,HIPERMETROPÍA,4,VII,ENFERMEDADES DEL OJO Y SUS ANEXOS,,,,SI
H521,H52.1,MIOPÍA,4,VII,ENFERMEDADES DEL OJO Y SUS ANEXOS,,,,SI
H522,H52.2,ASTIGMATISMO,4,VII,ENFERMEDADES DEL OJO Y SUS ANEXOS,,,,SI
H523,H52.3,ANISOMETROPÍA Y ANISEICONÍA,4,VII,ENFERMEDADES DEL OJO Y SUS ANEXOS,,,,SI
H524,H52.4,PRESBICIA,4,VII,ENFERMEDADES DEL OJO Y SUS ANEXOS,,,,SI
H525,H52.5,TRASTORNOS DE LA ACOMODACIÓN,4,VII,ENFERMEDADES DEL OJO Y SUS ANEXOS,,,,SI
H526,H52.6,OTROS TRASTORNOS DE LA REFRACCIÓN,4,VII,ENFERMEDADES DEL OJO Y SUS ANEXOS,,,,SI
H527,H52.7,"TRASTORNO DE LA REFRACCIÓN, NO ESPECIFICADO",4,VII,ENFERMEDADES DEL OJO Y SUS ANEXOS,,,,SI
H53,H53,ALTERACIONES DE LA VISIÓN,3,VII,ENFERMEDADES DEL OJO Y SUS ANEXOS,,,,NO
H530,H53.0,AMBLIOPÍA EX ANOPSIA,4,VII,ENFERMEDADES DEL OJO Y SUS ANEXOS,,,,SI
H531,H53.1,ALTERACIONES VISUALES SUBJETIVAS,4,VII,ENFERMEDADES DEL OJO Y SUS ANEXOS,,,,SI
H532,H53.2,DIPLOPÍA,4,VII,ENFERMEDADES DEL OJO Y SUS ANEXOS,,,,SI
H533,H53.3,OTROS TRASTORNOS DE LA VISIÓN BINOCULAR,4,VII,ENFERMEDADES DEL OJO Y SUS ANEXOS,,,,SI
H534,H53.4,DEFECTOS DEL CAMPO VISUAL,4,VII,ENFERMEDADES DEL OJO Y SUS ANEXOS,,,,SI
H535,H53.5,DEFICIENCIA DE LA VISIÓN CROMÁTICA,4,VII,ENFERMEDADES DEL OJO Y SUS ANEXOS,,,,SI
H536,H53.6,CEGUERA NOCTURNA,4,VII,ENFERMEDADES DEL OJO Y SUS ANEXOS,,,,SI
H538,H53.8,OTRAS ALTERACIONES VISUALES,4,VII,ENFERMEDADES DEL OJO Y SUS ANEXOS,,,,SI
H539,H53.9,"ALTERACIÓN VISUAL, NO ESPECIFICADA",4,VII,ENFERMEDADES DEL OJO Y SUS ANEXOS,,,,SI
H54,H54,CEGUERA Y DEFICIENCIA VISUAL (BINICULAR O MONOCULAR),3,VII,ENFERMEDADES DEL OJO Y SUS ANEXOS,,,,NO
H540,H54.0,CEGUERA BINOCULAR,4,VII,ENFERMEDADES DEL OJO Y SUS ANEXOS,,,,SI
H541,H54.1,"DEFICIENCIA VISUAL SEVERA, BINOCULAR",4,VII,ENFERMEDADES DEL OJO Y SUS ANEXOS,,,,SI
H542,H54.2,"DEFICIENCIA VISUAL MODERADA, BINOCULAR",4,VII,ENFERMEDADES DEL OJO Y SUS ANEXOS,,,,SI
H543,H54.3,"DEFICIENCIA VISUAL LEVE O AUSENTE, BINOCULAR",4,VII,ENFERMEDADES DEL OJO Y SUS ANEXOS,,,,SI
H544,H54.4,CEGUERA MONOCULAR,4,VII,ENFERMEDADES DEL OJO Y SUS ANEXOS,,,,SI
H545,H54.5,"DEFICIENCIA VISUAL SEVERA, MONOCULAR",4,VII,ENFERMEDADES DEL OJO Y SUS ANEXOS,,,,SI
H546,H54.6,"DEFICIENCIA VISUAL MODERADA, MONOCULAR",4,VII,ENFERMEDADES DEL OJO Y SUS ANEXOS,,,,SI
H547,H54.7,"DISMINUCIÓN DE LA AGUDEZA VISUAL, SIN ESPECIFICACIÓN",4,VII,ENFERMEDADES DEL OJO Y SUS ANEXOS,,,,NO
H549,H54.9,DEFICIENCIA VISUAL NO ESPECIFICADA (BINOCULAR),4,VII,ENFERMEDADES DEL OJO Y SUS ANEXOS,,,,SI
H55X,H55.X,NISTAGMO Y OTROS MOVIMIENTOS OCULARES IRREGULARES,4,VII,ENFERMEDADES DEL OJO Y SUS ANEXOS,,,,SI
H57,H57,OTROS TRASTORNOS DEL OJO Y SUS ANEXOS,3,VII,ENFERMEDADES DEL OJO Y SUS ANEXOS,,,,NO
H570,H57.0,ANOMALÍAS DE LA FUNCIÓN PUPILAR,4,VII,ENFERMEDADES DEL OJO Y SUS ANEXOS,,,,SI
H571,H57.1,DOLOR OCULAR,4,VII,ENFERMEDADES DEL OJO Y SUS ANEXOS,,,,SI
H578,H57.8,OTROS TRASTORNOS ESPECIFICADOS DEL OJO Y SUS ANEXOS,4,VII,ENFERMEDADES DEL OJO Y SUS ANEXOS,,,,SI
H579,H57.9,"TRASTORNO DEL OJO Y SUS ANEXOS, NO ESPECIFICADO",4,VII,ENFERMEDADES DEL OJO Y SUS ANEXOS,,,,SI
H58,H58,OTROS TRASTORNOS DEL OJO Y SUS ANEXOS EN ENFERMEDADES CLASIFICADAS EN OTRA PARTE,3,VII,ENFERMEDADES DEL OJO Y SUS ANEXOS,,,,NO
H580,H58.0,ANOMALÍAS DE LA FUNCIÓN PUPILAR EN ENFERMEDADES CLASIFICADAS EN OTRA PARTE,4,VII,ENFERMEDADES DEL OJO Y SUS ANEXOS,,,,SI
H581,H58.1,ALTERACIONES DE LA VISIÓN EN ENFERMEDADES CLASIFICADAS EN OTRA PARTE,4,VII,ENFERMEDADES DEL OJO Y SUS ANEXOS,,,,SI
H588,H58.8,OTROS TRASTORNOS ESPECIFICADOS DEL OJO EN ENFERMEDADES CLASIFICADAS EN OTRA PARTE,4,VII,ENFERMEDADES DEL OJO Y SUS ANEXOS,,,,SI
H59,H59,"TRASTORNOS DEL OJO Y SUS ANEXOS CONSECUTIVOS A PROCEDIMIENTOS, NO CLASIFICADOS EN OTRA PARTE",3,VII,ENFERMEDADES DEL OJO Y SUS ANEXOS,,,,NO
H590,H59.0,QUERATOPATÍA (BULLOSA AFÁQUICA) CONSECUTIVA A CIRUGÍA DE CATARATA,4,VII,ENFERMEDADES DEL OJO Y SUS ANEXOS,,,,SI
H598,H59.8,"OTROS TRASTORNOS DEL OJO Y SUS ANEXOS, CONSECUTIVOS A PROCEDIMIENTOS",4,VII,ENFERMEDADES DEL OJO Y SUS ANEXOS,,,,SI
H599,H59.9,"TRASTORNO NO ESPECIFICADO DEL OJO Y SUS ANEXOS, CONSECUTIVO A PROCEDIMIENTOS",4,VII,ENFERMEDADES DEL OJO Y SUS ANEXOS,,,,SI
H60,H60,OTITIS EXTERNA,3,VIII,ENFERMEDADES DE OIDO Y DE LA APOFISIS MASTOIDES,,,,NO
H600,H60.0,ABSCESO DEL OÍDO EXTERNO,4,VIII,ENFERMEDADES DE OIDO Y DE LA APOFISIS MASTOIDES,,,,SI
H601,H60.1,CELULITIS DEL OÍDO EXTERNO,4,VIII,ENFERMEDADES DE OIDO Y DE LA APOFISIS MASTOIDES,,,,SI
H602,H60.2,OTITIS EXTERNA MALIGNA,4,VIII,ENFERMEDADES DE OIDO Y DE LA APOFISIS MASTOIDES,,,,SI
H603,H60.3,OTRAS OTITIS EXTERNAS INFECCIOSAS,4,VIII,ENFERMEDADES DE OIDO Y DE LA APOFISIS MASTOIDES,,,,SI
H604,H60.4,COLESTEATOMA DEL OÍDO EXTERNO,4,VIII,ENFERMEDADES DE OIDO Y DE LA APOFISIS MASTOIDES,,,,SI
H605,H60.5,"OTITIS EXTERNA AGUDA, NO INFECCIOSA",4,VIII,ENFERMEDADES DE OIDO Y DE LA APOFISIS MASTOIDES,,,,SI
H608,H60.8,OTRAS OTITIS EXTERNAS,4,VIII,ENFERMEDADES DE OIDO Y DE LA APOFISIS MASTOIDES,,,,SI
H609,H60.9,"OTITIS EXTERNA, SIN OTRA ESPECIFICACIÓN",4,VIII,ENFERMEDADES DE OIDO Y DE LA APOFISIS MASTOIDES,,,,SI
H61,H61,OTROS TRASTORNOS DEL OÍDO EXTERNO,3,VIII,ENFERMEDADES DE OIDO Y DE LA APOFISIS MASTOIDES,,,,NO
H610,H61.0,PERICONDRITIS DEL OÍDO EXTERNO,4,VIII,ENFERMEDADES DE OIDO Y DE LA APOFISIS MASTOIDES,,,,SI
H611,H61.1,AFECCIONES NO INFECCIOSAS DEL PABELLÓN AUDITIVO,4,VIII,ENFERMEDADES DE OIDO Y DE LA APOFISIS MASTOIDES,,,,SI
H612,H61.2,CERUMEN IMPACTADO,4,VIII,ENFERMEDADES DE OIDO Y DE LA APOFISIS MASTOIDES,,,,SI
H613,H61.3,ESTENOSIS ADQUIRIDA DEL CONDUCTO AUDITIVO EXTERNO,4,VIII,ENFERMEDADES DE OIDO Y DE LA APOFISIS MASTOIDES,,,,SI
H618,H61.8,OTROS TRASTORNOS ESPECIFICADOS DEL OÍDO EXTERNO,4,VIII,ENFERMEDADES DE OIDO Y DE LA APOFISIS MASTOIDES,,,,SI
H619,H61.9,"TRASTORNO DEL OÍDO EXTERNO, NO ESPECIFICADO",4,VIII,ENFERMEDADES DE OIDO Y DE LA APOFISIS MASTOIDES,,,,SI
H62,H62,TRASTORNOS DEL OÍDO EXTERNO EN ENFERMEDADES CLASIFICADAS EN OTRA PARTE,3,VIII,ENFERMEDADES DE OIDO Y DE LA APOFISIS MASTOIDES,,,,NO
H620,H62.0,OTITIS EXTERNA EN ENFERMEDADES BACTERIANAS CLASIFICADAS EN OTRA PARTE,4,VIII,ENFERMEDADES DE OIDO Y DE LA APOFISIS MASTOIDES,,,,SI
H621,H62.1,OTITITS EXTERNA EN ENFERMEDADES VÍRALES CLASIFICADAS EN OTRA PARTE,4,VIII,ENFERMEDADES DE OIDO Y DE LA APOFISIS MASTOIDES,,,,SI
H622,H62.2,OTITITS EXTERNA EN MICOSIS,4,VIII,ENFERMEDADES DE OIDO Y DE LA APOFISIS MASTOIDES,,,,SI
H623,H62.3,OTITITS EXTERNA EN OTRAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS CLASIFICADAS EN OTRA PARTE,4,VIII,ENFERMEDADES DE OIDO Y DE LA APOFISIS MASTOIDES,,,,SI
H624,H62.4,OTITITS EXTERNA EN OTRAS ENFERMEDADES CLASIFICADAS EN OTRA PARTE,4,VIII,ENFERMEDADES DE OIDO Y DE LA APOFISIS MASTOIDES,,,,SI
H628,H62.8,OTROS TRASTORNOS DEL OÍDO EXTERNO EN ENFERMEDADES CLASIFICADAS EN OTRA PARTE,4,VIII,ENFERMEDADES DE OIDO Y DE LA APOFISIS MASTOIDES,,,,SI
H65,H65,OTITIS MEDIA NO SUPURATIVA,3,VIII,ENFERMEDADES DE OIDO Y DE LA APOFISIS MASTOIDES,,,,NO
H650,H65.0,OTITIS MEDIA AGUDA SEROSA,4,VIII,ENFERMEDADES DE OIDO Y DE LA APOFISIS MASTOIDES,,,,SI
H651,H65.1,"OTRA OTITIS MEDIA AGUDA, NO SUPURATIVA",4,VIII,ENFERMEDADES DE OIDO Y DE LA APOFISIS MASTOIDES,,,,SI
H652,H65.2,OTITIS MEDIA CRÓNICA SEROSA,4,VIII,ENFERMEDADES DE OIDO Y DE LA APOFISIS MASTOIDES,,28,43800,SI
H653,H65.3,OTITIS MEDIA CRÓNICA MUCOIDE,4,VIII,ENFERMEDADES DE OIDO Y DE LA APOFISIS MASTOIDES,,28,43800,SI
H654,H65.4,OTRAS OTITIS MEDIAS CRÓNICAS NO SUPURATIVAS,4,VIII,ENFERMEDADES DE OIDO Y DE LA APOFISIS MASTOIDES,,28,43800,SI
H659,H65.9,"OTITIS MEDIA NO SUPURATIVA, SIN OTRA ESPECIFICACIÓN",4,VIII,ENFERMEDADES DE OIDO Y DE LA APOFISIS MASTOIDES,,,,SI
H66,H66,OTITIS MEDIA SUPURATIVA Y LA NO ESPECIFICADA,3,VIII,ENFERMEDADES DE OIDO Y DE LA APOFISIS MASTOIDES,,,,NO
H660,H66.0,OTITIS MEDIA SUPURATIVA AGUDA,4,VIII,ENFERMEDADES DE OIDO Y DE LA APOFISIS MASTOIDES,,,,SI
H661,H66.1,OTITIS MEDIA TUBOTIMPÁNICA SUPURATIVA CRÓNICA,4,VIII,ENFERMEDADES DE OIDO Y DE LA APOFISIS MASTOIDES,,28,43800,SI
H662,H66.2,OTITIS MEDIA SUPURATIVA CRÓNICA ATICOANTRAL,4,VIII,ENFERMEDADES DE OIDO Y DE LA APOFISIS MASTOIDES,,28,43800,SI
H663,H66.3,OTRAS OTITIS MEDIAS CRÓNICAS SUPURATIVAS,4,VIII,ENFERMEDADES DE OIDO Y DE LA APOFISIS MASTOIDES,,28,43800,SI
H664,H66.4,"OTITIS MEDIA SUPURATIVA, SIN OTRA ESPECIFICACIÓN",4,VIII,ENFERMEDADES DE OIDO Y DE LA APOFISIS MASTOIDES,,,,SI
H669,H66.9,"OTITIS MEDIA, NO ESPECIFICADA",4,VIII,ENFERMEDADES DE OIDO Y DE LA APOFISIS MASTOIDES,,,,SI
H67,H67,OTITIS MEDIA EN ENFERMEDADES CLASIFICADAS EN OTRA PARTE,3,VIII,ENFERMEDADES DE OIDO Y DE LA APOFISIS MASTOIDES,,,,NO
H670,H67.0,OTITIS MEDIA EN ENFERMEDADES BACTERIANAS CLASIFICADAS EN OTRA PARTE,4,VIII,ENFERMEDADES DE OIDO Y DE LA APOFISIS MASTOIDES,,,,SI
H671,H67.1,OTITIS MEDIA EN ENFERMEDADES VIRALES CLASIFICADAS EN OTRA PARTE,4,VIII,ENFERMEDADES DE OIDO Y DE LA APOFISIS MASTOIDES,,,,SI
H678,H67.8,OTITIS MEDIA EN OTRAS ENFERMEDADES CLASIFICADAS EN OTRA PARTE,4,VIII,ENFERMEDADES DE OIDO Y DE LA APOFISIS MASTOIDES,,,,SI
H68,H68,INFLAMACIÓN Y OBSTRUCCIÓN DE LA TROMPA DE EUSTAQUIO,3,VIII,ENFERMEDADES DE OIDO Y DE LA APOFISIS MASTOIDES,,,,NO
H680,H68.0,SALPINGITIS EUSTAQUIANA,4,VIII,ENFERMEDADES DE OIDO Y DE LA APOFISIS MASTOIDES,,,,SI
H681,H68.1,OBSTRUCCIÓN DE LA TROMPA DE EUSTAQUIO,4,VIII,ENFERMEDADES DE OIDO Y DE LA APOFISIS MASTOIDES,,,,SI
H69,H69,OTROS TRASTORNOS DE LA TROMPA DE EUSTAQUIO,3,VIII,ENFERMEDADES DE OIDO Y DE LA APOFISIS MASTOIDES,,,,NO
H690,H69.0,DISTENSIÓN DE LA TROMPA DE EUSTAQUIO,4,VIII,ENFERMEDADES DE OIDO Y DE LA APOFISIS MASTOIDES,,,,SI
H698,H69.8,OTROS TRASTORNOS ESPECIFICADOS DE LA TROMPA DE EUSTAQUIO,4,VIII,ENFERMEDADES DE OIDO Y DE LA APOFISIS MASTOIDES,,,,SI
H699,H69.9,"TRASTORNO DE LA TROMPA DE EUSTAQUIO, NO ESPECIFICADO",4,VIII,ENFERMEDADES DE OIDO Y DE LA APOFISIS MASTOIDES,,,,SI
H70,H70,MASTOIDITIS Y AFECCIONES RELACIONADAS,3,VIII,ENFERMEDADES DE OIDO Y DE LA APOFISIS MASTOIDES,,,,NO
H700,H70.0,MASTOIDITIS AGUDA,4,VIII,ENFERMEDADES DE OIDO Y DE LA APOFISIS MASTOIDES,,,,SI
H701,H70.1,MASTOIDITIS CRÓNICA,4,VIII,ENFERMEDADES DE OIDO Y DE LA APOFISIS MASTOIDES,,28,43800,SI
H702,H70.2,PETROSITIS,4,VIII,ENFERMEDADES DE OIDO Y DE LA APOFISIS MASTOIDES,,,,SI
H708,H70.8,OTRAS MASTOIDITIS Y AFECCIONES RELACIONADAS,4,VIII,ENFERMEDADES DE OIDO Y DE LA APOFISIS MASTOIDES,,,,SI
H709,H70.9,"MASTOIDITIS, NO ESPECIFICADA",4,VIII,ENFERMEDADES DE OIDO Y DE LA APOFISIS MASTOIDES,,,,SI
H71X,H71.X,COLESTEATOMA DEL OÍDO MEDIO,4,VIII,ENFERMEDADES DE OIDO Y DE LA APOFISIS MASTOIDES,,,,SI
H72,H72,PERFORACIÓN DE LA MEMBRANA TIMPÁNICA,3,VIII,ENFERMEDADES DE OIDO Y DE LA APOFISIS MASTOIDES,,,,NO
H720,H72.0,PERFORACIÓN CENTRAL DE LA MEMBRANA TIMPÁNICA,4,VIII,ENFERMEDADES DE OIDO Y DE LA APOFISIS MASTOIDES,,,,SI
H721,H72.1,PERFORACIÓN ÁTICA DE LA MEMBRANA TIMPÁNICA,4,VIII,ENFERMEDADES DE OIDO Y DE LA APOFISIS MASTOIDES,,,,SI
H722,H72.2,OTRAS PERFORACIONES MARGINALES DE LA MEMBRANA TIMPÁNICA,4,VIII,ENFERMEDADES DE OIDO Y DE LA APOFISIS MASTOIDES,,,,SI
H728,H72.8,OTRAS PERFORACIONES DE LA MEMBRANA TIMPÁNICA,4,VIII,ENFERMEDADES DE OIDO Y DE LA APOFISIS MASTOIDES,,,,SI
H729,H72.9,"PERFORACIÓN DE LA MEMBRANA TIMPÁNICA, SIN OTRA ESPECIFICACIÓN",4,VIII,ENFERMEDADES DE OIDO Y DE LA APOFISIS MASTOIDES,,,,SI
H73,H73,OTROS TRASTORNOS DE LA MEMBRANA TIMPÁNICA,3,VIII,ENFERMEDADES DE OIDO Y DE LA APOFISIS MASTOIDES,,,,NO
H730,H73.0,MIRINGITIS AGUDA,4,VIII,ENFERMEDADES DE OIDO Y DE LA APOFISIS MASTOIDES,,,,SI
H731,H73.1,MIRINGITIS CRÓNICA,4,VIII,ENFERMEDADES DE OIDO Y DE LA APOFISIS MASTOIDES,,,,SI
H738,H73.8,OTROS TRASTORNOS ESPECIFICADOS DE LA MEMBRANA TIMPÁNICA,4,VIII,ENFERMEDADES DE OIDO Y DE LA APOFISIS MASTOIDES,,,,SI
H739,H73.9,"TRASTORNO DE LA MEMBRANA TIMPÁNICA, NO ESPECIFICADO",4,VIII,ENFERMEDADES DE OIDO Y DE LA APOFISIS MASTOIDES,,,,SI
H74,H74,OTROS TRASTORNOS DEL OÍDO MEDIO Y DE LA APÓFISIS MASTOIDES,3,VIII,ENFERMEDADES DE OIDO Y DE LA APOFISIS MASTOIDES,,,,NO
H740,H74.0,TIMPANOSCLEROSIS,4,VIII,ENFERMEDADES DE OIDO Y DE LA APOFISIS MASTOIDES,,,,SI
H741,H74.1,ENFERMEDAD ADHESIVA DEL OÍDO MEDIO,4,VIII,ENFERMEDADES DE OIDO Y DE LA APOFISIS MASTOIDES,,,,SI
H742,H74.2,DISCONTINUIDAD Y DISLOCACIÓN DE LOS HUESECILLOS DEL OÍDO,4,VIII,ENFERMEDADES DE OIDO Y DE LA APOFISIS MASTOIDES,,,,SI
H743,H74.3,OTRAS ANORMALIDADES ADQUIRIDAS DE LOS HUESECILLOS DEL OÍDO,4,VIII,ENFERMEDADES DE OIDO Y DE LA APOFISIS MASTOIDES,,,,SI
